URI,Title,RecordId,Coin Type URI,From Date,To Date,Artist,SubjectEvent,SubjectIssuer,SubjectPerson,SubjectPlace,Authority,Coin Type,Degree,Deity,Denomination,Department,Dynasty,Engraver,Issuer,Maker,Manufacture,Material,Mint,Object Type,Portrait,Reference,Region,Script,State,Obverse Legend,Obverse Type,Reverse Legend,Reverse Type,Date on Object,Ah,Axis,Diameter,Weight,Thumbnail_obv,Thumbnail_rev,Date Record Modified
http://numismatics.org/collection/1921.189.1,"Gold dinar of al-Khalifa al-Ma'mun, nm Misr, ""149"" H. 1921.189.1",1921.189.1,,811.0,817.0,,,,,,al-Khalifa al-Ma'mun,,,,dinar,Islamic,`Abbasid imitation,,,,,Gold,nm Misr,Coin,,,NE Africa,,,,,,,,,5.0,17.0,3.33,http://numismatics.org/collectionimages/19001949/1921/1921.189.1.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1921/1921.189.1.rev.width175.jpg,2020-07-31T01:09:48Z
http://numismatics.org/collection/1921.53.18,"Silver dirhem of temp. al-Walid I, Sarakhs, 90 H. 1921.53.18",1921.53.18,,708.0,709.0,,,,,,temp. al-Walid I,,,,dirhem,Islamic,Umayyad,,,,,Silver,Sarakhs,Coin,,Album 128,Mashriq,,,,,,,,90.0,11.0,28.0,2.78,http://numismatics.org/collectionimages/19001949/1921/1921.53.18.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1921/1921.53.18.rev.width175.jpg,2020-07-31T01:12:02Z
http://numismatics.org/collection/1921.53.2,"Silver dirham of Ala' al-Din Kay Qubad I, Qaysariyya, 616 H. 1921.53.2",1921.53.2,,1219.0,1220.0,,,,,,Ala' al-Din Kay Qubad I,,,,dirham,Islamic,Rum Seljuq,,,,,Silver,Qaysariyya,Coin,,Album 1211,Anatolia,,Seljuqs of Rum,,,,,,616.0,,23.5,2.917,http://numismatics.org/collectionimages/19001949/1921/1921.53.2.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1921/1921.53.2.rev.width175.jpg,2020-07-31T01:13:47Z
http://numismatics.org/collection/1921.53.9,"Silver dirham of Ghassan/A`yan b. Harthama, M. Zaranj, 205 H. 1921.53.9",1921.53.9,,820.0,821.0,,,,,,Ghassan||A`yan b. Harthama,,,,dirham,Islamic,`Abbasid,,,,,Silver,M. Zaranj,Coin,,,Mashriq,,,,,"lillah Ghassan above, A`yan b. Harthama below",,,205.0,,27.0,2.891,http://numismatics.org/collectionimages/19001949/1921/1921.53.9.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1921/1921.53.9.rev.width175.jpg,2020-07-31T01:14:44Z
http://numismatics.org/collection/1919.60.45,"Silver 1/2 rupee of Shuja` al-Mulk, Ahmadshahi, 1255 H. 1919.60.45",1919.60.45,,1839.0,1840.0,,,,,,Shuja` al-Mulk,,,,1/2 rupee,Islamic,Durrani,,,,,Silver,Ahmadshahi,Coin,,,Mashriq,,,,,,,,1255.0,,16.0,4.66,http://numismatics.org/collectionimages/19001949/1919/1919.60.45.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.60.45.rev.width175.jpg,2020-07-31T01:10:06Z
http://numismatics.org/collection/1919.60.62,"Copper alloy falus, Ganja, 1067? H. 1919.60.62",1919.60.62,,1656.0,1657.0,,,,,,,,,,falus,Islamic,autonomous AE of Caucasus,,,,,Copper alloy,Ganja,Coin,,,Caucasus,,,,sunface var.,,,,,,19.0,3.173,http://numismatics.org/collectionimages/19001949/1919/1919.60.62.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.60.62.rev.width175.jpg,2020-07-31T01:09:37Z
http://numismatics.org/collection/1919.68.1,"Copper alloy dirham of Qara Arslan, Kayfa, nd H. 1919.68.1",1919.68.1,,1144.0,1174.0,,,,,,Qara Arslan,,,,dirham,Islamic,Artuqid of Amid and Hisn Kayfa,,,,,Copper alloy,Kayfa,Coin,,BMCOr III.328S/S.02.2aAlbum.1820.2,Caucasus,,,Mu'in Amir al-mu'minin,"Christ enthroned, Arabic nos.left and right,",Qara Arslan bin Artuq / bin Da'ud al Malik al-`Alim al-Adil Fakhr al-Din,,,,,,,http://numismatics.org/collectionimages/19001949/1919/1919.68.1.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.68.1.rev.width175.jpg,2020-07-31T01:12:55Z
http://numismatics.org/collection/1913.91.1,"Clay Tablet, Mesopotamia, 2100 BC - 2000 BC. 1913.91.1",1913.91.1,,-2100.0,-2000.0,,,,,,,,,,,Islamic,,,,,manuscript,Clay,,Tablet,,,Mesopotamia,,,𒐊𒂆𒆬𒌓/ 𒂍𒁮𒃼𒋫/ 𒈧𒁮𒃼𒂷𒂷𒉈/ 𒈬𒈾𒊏𒌓𒁺/ 𒈬𒎙𒄰𒐈𒂆𒆬/𒈠𒊏𒀭𒋧/ 𒐁𒐈𒊺𒄥𒈗/ 𒊺𒀀𒊮𒊕𒆕/ 𒂍𒍣𒉌𒍝𒋫𒋗/𒁀𒊏𒀭𒋢𒁍/ 𒐀𒄥𒀀𒇒𒉚𒈨𒋧[𒈬𒁕]𒄰,,𒀀𒀀𒆗𒆷/ 𒌉𒅇𒈠𒉌/ 𒋗𒁀𒋾/ 𒈫𒌆𒃻𒇴/ 𒆬𒁉𒁹𒂆𒆬/ 𒁹𒍏𒊺𒌴/ 𒆠𒇲𒌋𒂆𒍏/ 𒈬𒁺𒌓𒐌𒄰𒁉/𒅎/ 𒆕𒀀{𒁉}𒁉/ 𒆠𒈗𒆬𒂵𒉌/𒋫/ 𒌑𒌆𒃶𒁺/ 𒋗𒁀𒋾,,,,,,,http://numismatics.org/collectionimages/19001949/1913/1913.91.1.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1913/1913.91.1.rev.width175.jpg,2020-07-31T01:09:59Z
http://numismatics.org/collection/1919.60.65,"Silver 1/2 drahm of Ibrahim, TPWRSTAN, 792 - 793. 1919.60.65",1919.60.65,,792.0,793.0,,,,,,Ibrahim,,,,1/2 drahm,Islamic,`Abbasid Governor,,,,,Silver,TPWRSTAN,Coin,,Album 72,Mashriq,,,,,,,,,,,1.987,http://numismatics.org/collectionimages/19001949/1919/1919.60.65.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.60.65.rev.width175.jpg,2020-07-31T01:14:03Z
http://numismatics.org/collection/1919.64.8,"Copper alloy shahi, Rasht, 1250-99 H. 1919.64.8",1919.64.8,,1834.0,1882.0,,,,,,,,,,shahi,Islamic,autonomous AE of Iran,,,,,Copper alloy,Rasht,Coin,,,Mashriq,,,,horseman r.,,,,,,28.0,16.423,http://numismatics.org/collectionimages/19001949/1919/1919.64.8.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.64.8.rev.width175.jpg,2020-07-31T01:12:20Z
http://numismatics.org/collection/1952.91.2,"Gold 2 altin of Mahmud II Adli, Edirne, 1830 - 1831. 1952.91.2",1952.91.2,,1830.0,1831.0,,Memphis Ottoman,,,,Mahmud II Adli,,,,2 altin,Islamic,Ottoman,,,,,Gold,Edirne,Coin,,KM 67730-ED-A1-24Pere.742,SE Europe,,Ottoman Empire,,,,,,,,27.0,3.54,http://numismatics.org/collectionimages/19501999/1952/1952.91.2.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1952/1952.91.2.rev.width175.jpg,2020-07-31T01:09:38Z
http://numismatics.org/collection/1919.60.49,"Copper alloy falus, Ardabil, 1233 H. 1919.60.49",1919.60.49,,1817.0,1818.0,,,,,,,,,,falus,Islamic,autonomous AE of Caucasus,,,,,Copper alloy,Ardabil,Coin,,,Caucasus,,,,"lion couchant l., sunface behind",,,,1233.0,,18.5,4.582,http://numismatics.org/collectionimages/19001949/1919/1919.60.49.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.60.49.rev.width175.jpg,2020-07-31T01:08:34Z
